p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
5.142012356543073e-7,0.8429808845859732,0.125,0.083,0.010951972118201092,6,SH3YL1,all
5.26956515161681e-7,0.27717288896119635,0.478,0.423,0.011223646816428644,6,UFL1,all
5.707622902592569e-7,0.5847559943163128,0.192,0.141,0.012156666020231912,6,COX7A1,all
5.726468051345452e-7,0.5596931466819428,0.183,0.132,0.012196804302560678,6,MMP23B,all
5.736075608476424e-7,0.34317025368617826,0.428,0.375,0.012217267438493936,6,GFPT2,all
5.886023856641171e-7,0.28295166747000733,0.508,0.45,0.01253664221226003,6,NTAN1,all
5.955598352958417e-7,0.2512216495607096,0.512,0.456,0.012684828931966131,6,GINM1,all
6.08713733560548e-7,0.3613475060714392,0.401,0.347,0.012964993811106112,6,GOLGA2,all
6.184731922177241e-7,0.6811878193675263,0.161,0.115,0.013172860521045307,6,XAF1,all
6.524849334114457e-7,0.5049009700561728,0.164,0.117,0.013897276596730382,6,TNFSF12,all
6.584357159165144e-7,0.2841550113406004,0.439,0.379,0.01402402231330584,6,NOP53,all
6.697546985312309e-7,0.2965856549846344,0.336,0.274,0.014265105324016687,6,PIGS,all
7.086470307622938e-7,0.6524951287361747,0.111,0.072,0.015093473108206095,6,PLXDC2,all
7.167342220213745e-7,0.4198365215704656,0.303,0.246,0.015265722194833254,6,VEZT,all
7.370449505478046e-7,0.4295718465597531,0.322,0.262,0.01569832040171769,6,LINC01638,all
